ID,Given String,Predicted Continuation,Full Method
54,"['void', 'function']","[('(', 1.0), (')', 0.4331875), ('.', 0.07301766929862916), ('hashCode', 0.004592808334266831), ('(', 0.9672131147540983), ('true', 0.002320185614849188), (')', 0.9039812646370023), ('loc0', 0.001199040767386091), ('.', 0.6024890190336749)]",void function ( ) . hashCode ( true ) loc0 .
55,"['void', 'function']","[('(', 1.0), ('float', 0.0051125), ('[', 0.07086614173228346), (']', 0.896774193548387), ('loc0', 0.13599871547848427), ('=', 0.9763872491145218), ('next', 0.0007746856563971158), ('(', 0.6666666666666666), (')', 0.9636871508379888), (';', 0.28056119955762454), (')', 'Paren balancing')]",void function ( float [ ] loc0 = next ( ) ; )
56,"['void', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('return', 0.09113753759851763), ('this', 0.22578361981799797), ('.', 0.5570848773601553), ('process', 0.000106951871657754), ('(', 0.9565217391304348), ('this', 0.058823529411764705), ('.', 0.6189507930052867), (')', 'Paren balancing')]",void function ( ) ; return this . process ( this . )
57,"['CassandraYamlBuilder', 'function']","[('(', 1.0), ('Object', 0.0149875), ('arg0', 0.8750969743987588), (')', 0.7505486466715435), ('{', 0.6710117196842861), ('animate', 9.960655411126052e-06), ('(', 1.0), ('arg0', 0.5), (',', 0.2759494515021173), ('String', 0.1318181818181818), ('>', 0.10292450691453185), ('loc0', 0.15351299326275264), ('=', 0.8904443091905052), ('of', 0.0012514152911030333), (')', 'Paren balancing'), ('}', 'Bracket balancing')]","CassandraYamlBuilder function ( Object arg0 ) { animate ( arg0 , String > loc0 = of ) )"
58,"['void', 'function']","[('(', 1.0), ('com', 0.0080875), ('.', 1.0), ('liferay', 0.6642771804062126), ('.', 1.0), ('portal', 0.704136690647482), ('.', 1.0), (')', 'Paren balancing')]",void function ( com . liferay . portal . )
59,"['void', 'function']","[('(', 1.0), ('String', 0.1412), ('.', 0.018730663098921314), ('valueOf', 0.21076923076923076), ('(', 1.0), ('arg1', 0.10888252148997135), (',', 0.24805566925910766), ('0', 0.007681228996639462), (',', 0.6756529064869419), ('loc0', 0.18787425149700598), (')', 0.5590579710144927), (';', 0.5940660822656777), ('int', 0.0074752833373523024), ('loc1', 0.49327354260089684), ('=', 0.9569672131147541), ('loc0', 0.14692113791861722), ('.', 0.6305443548387096), ('getMessage', 0.01227830832196453), ('(', 1.0), (')', 0.8281786941580757), ('{', 0.4514930171549086), ('arg0', 0.012102196324518153), ('.', 0.707681849082257), ('flip', 0.00015463120457708364), ('(', 1.0), (')', 0.4782608695652174), (')', 0.10854916283017411), (';', 0.5508535839403882), ('}', 0.581206452349828), ('return', 0.2501157300249977), ('arg0', 0.06683804627249357), (';', 0.28730399595346484), ('return', 0.09272800321414222), ('convertToHex', 0.00010111223458038423), ('(', 1.0), ('loc1', 1.0), (',', 0.139715741485653), ('loc0', 0.125810635538262), (')', 0.5590579710144927), (';', 0.5940660822656777), ('return', 0.09113753759851763), ('getResourceForResource', 0.00010111223458038423), ('(', 1.0), ('loc0', 1.0), ('=', 0.10869120654396729), ('arg0', 0.08801620880758), (';', 0.7737393355066935), ('this', 0.014383286460425873), ('.', 1.0), ('saturation', 0.000106951871657754), ('=', 0.5), ('arg1', 1.0), (')', 'Paren balancing')]","void function ( String . valueOf ( arg1 , 0 , loc0 ) ; int loc1 = loc0 . getMessage ( ) { arg0 . flip ( ) ) ; } return arg0 ; return convertToHex ( loc1 , loc0 ) ; return getResourceForResource ( loc0 = arg0 ; this . saturation = arg1 )"
60,"['boolean', 'function']","[('(', 1.0), ('Connection', 0.0006875), ('arg0', 0.782608695652174), (')', 0.6666666666666666), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('getValueBinding', 0.00035501458095600353), ('(', 1.0), ('getJsfEl', 1.0), ('(', 1.0), ('arg0', 1.0), (',', 0.2759494515021173), ('double', 0.010927456382001837), ('arg1', 0.5572519083969466), (')', 0.6403162055335968), (';', 0.3243733620052416), ('this', 0.008680974198215577), ('.', 1.0), ('deviceViewport', 5.3475935828877e-05), ('.', 1.0), ('setBounds', 1.0), ('(', 1.0), ('new', 0.2727272727272727), ('ChainedGoogleClientRequestInitializer', 0.000481000481000481), ('(', 1.0), ('arg0', 1.0), ('=', 0.057617285185555665), ('=', 0.7983870967741935), ('0', 0.09149277688603531), (';', 0.6895054282267793), ('loc2', 0.08464042616158626), ('<', 0.3925), ('arg0', 0.10666666666666667), ('[', 0.024163568773234202), (')', 'Paren balancing'), (')', 'Paren balancing'), (')', 'Paren balancing'), ('}', 'Bracket balancing')]","boolean function ( Connection arg0 ) { return getValueBinding ( getJsfEl ( arg0 , double arg1 ) ; this . deviceViewport . setBounds ( new ChainedGoogleClientRequestInitializer ( arg0 = = 0 ; loc2 < arg0 [ ) ) ) )"
61,"['void', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('this', 0.008680974198215577), ('.', 1.0), ('daoSession', 0.00016042780748663101), ('=', 1.0), ('arg0', 1.0), ('.', 0.16889782895193176), ('length', 0.09989175815679605)]",void function ( ) ; this . daoSession = arg0 . length
62,"['Object', 'function']","[('(', 1.0), (')', 0.4331875), ('+', 0.01238394074226486), ('""', 0.5495841330774153), ('srini_string', 1.0), ('""', 1.0), ('+', 0.2183490831716628), ('KafkaSource', 0.0008598452278589854), ('.', 1.0), ('AVG_RECORD_MILLIS', 0.6666666666666666)]","Object function ( ) + "" srini_string "" + KafkaSource . AVG_RECORD_MILLIS"
63,"['int', 'function']","[('(', 1.0), ('InputStream', 0.003075), ('arg0', 0.9384615384615385), (',', 0.43934426229508194), ('final', 0.047658402203856746), ('int', 0.1699429296131896), ('arg1', 0.19509043927648578), (',', 0.4297929792979298), ('arg2', 0.29236677868458955), (',', 0.4210868857793687), ('typeDesc', 0.10239029611130931), (')', 1.0), (';', 1.0), ('authorize', 1.2691482745929207e-05), ('(', 1.0), (')', 'Paren balancing')]","int function ( InputStream arg0 , final int arg1 , arg2 , typeDesc ) ; authorize ( )"
64,"['void', 'function']","[('(', 1.0), ('File', 0.003425), ('arg0', 0.8681672025723473), (')', 0.7272727272727273), ('{', 0.6710117196842861), ('consoleReporter', 9.960655411126052e-06), ('.', 1.0), ('stop', 1.0), ('(', 0.9878048780487805), (')', 0.865979381443299), ('}', 'Bracket balancing')]",void function ( File arg0 ) { consoleReporter . stop ( ) )
65,"['double', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('loc0', 0.046615816125797974), ('.', 0.6209977661950856), ('add', 0.04945429740791269), ('(', 0.9990534784666352), ('loc0', 0.12522522522522522), (')', 0.3778118609406953), ('{', 0.24531355360755225), ('if', 0.09662831814333384), ('(', 1.0), ('arg0', 0.2232888888888889), (')', 'Paren balancing'), ('}', 'Bracket balancing')]",double function ( ) ; loc0 . add ( loc0 ) { if ( arg0 ) )
66,"['String', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('this', 0.07082540890072271), (';', 0.43956237868360687), ('}', 0.9826455842653298), ('catch', 0.08480696231830386), ('(', 1.0), ('DataAccessException', 0.0020376974019358125), ('loc0', 1.0), (')', 1.0), (';', 0.5940660822656777), ('if', 0.05358344015331311), ('(', 1.0), ('quoteStart', 0.0002962962962962963), ('!', 1.0), ('=', 1.0), ('null', 0.7878017789072427), (')', 'Paren balancing')]",String function ( ) { return this ; } catch ( DataAccessException loc0 ) ; if ( quoteStart ! = null )
67,"['void', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('assert', 0.0005584252408208851), ('loc0', 0.2289156626506024), ('!', 0.2916666666666667), ('=', 1.0), ('null', 0.7878017789072427), (';', 0.16857037582903464), ('try', 0.02795425667090216), ('{', 0.9738219895287958), ('IpAddress', 0.00048661800486618007), ('loc0', 1.0), ('=', 1.0), ('new', 0.2509981526726655), ('Object', 0.005814798662596307), ('[', 0.8990825688073395), (']', 0.8962025316455696), ('loc1', 0.05346820809248555), ('=', 0.9579579579579579), ('new', 0.17302844796543032), ('}', 'Bracket balancing')]",void function ( ) ; assert loc0 ! = null ; try { IpAddress loc0 = new Object [ ] loc1 = new )
68,"['void', 'function']","[('(', 1.0), ('Object', 0.0149875), ('arg0', 0.8750969743987588), (')', 0.7505486466715435), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('SINGLETON', 0.00010143273741600101), (';', 1.0), ('}', 1.0), ('loc0', 0.012591426719748172), ('.', 0.6443661971830986), ('mWindow', 0.00042633015006821284), ('.', 0.4), ('registerPage', 0.3333333333333333), ('(', 1.0), ('arg0', 1.0), (',', 0.2759494515021173), ('String', 0.1318181818181818), ('arg1', 0.5978236227612787), (',', 0.3895231699126931), ('int', 0.10957753240518484), ('arg1', 0.6061050777810391), (')', 0.5684068406840684), ('{', 0.5701229756064781), ('return', 0.37874396135265703), ('add', 0.0007607455306200076), ('(', 0.9782608695652174), ('USERINFO_EMAIL', 0.0018018018018018018), (')', 1.0), (';', 1.0), ('}', 0.581206452349828), ('return', 0.2501157300249977), ('imgAdded', 0.00015121729925903524), (';', 1.0)]","void function ( Object arg0 ) { return SINGLETON ; } loc0 . mWindow . registerPage ( arg0 , String arg1 , int arg1 ) { return add ( USERINFO_EMAIL ) ; } return imgAdded ;"
69,"['java', '.']","[('util', 0.2944915254237288), ('.', 1.0), ('ArrayList', 0.07509157509157509), ('<', 0.8536585365853658), ('String', 0.16376582278481014), ('>', 0.5940044411547002), ('arg1', 0.04956689124157844), (',', 0.23916083916083916), ('int', 0.10957753240518484), ('arg2', 0.26240093924273555), (',', 0.35691987513007284), ('typeDesc', 0.10239029611130931)]","java . util . ArrayList < String > arg1 , int arg2 , typeDesc"
70,"['boolean', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('arg0', 0.013567195055398322), ('[', 0.04798172124904798), ('loc1', 0.22719141323792486), (']', 0.9096244131455399), ('!', 0.015853658536585366), ('=', 1.0), ('null', 0.7878017789072427), (';', 0.16857037582903464), ('try', 0.02795425667090216), ('{', 0.9738219895287958), ('loc1', 0.01800486618004866), ('.', 0.4292845257903494), ('getActions', 0.0013373453694416582), ('(', 1.0), (')', 1.0), (';', 0.28056119955762454), ('}', 0.581206452349828), ('_diagnosisList', 4.629200999907416e-05), ('.', 1.0), ('size', 0.6666666666666666), ('(', 0.9523489932885906), (')', 0.9966124661246613), ('{', 0.4514930171549086), ('ListELResolver', 1.9921310822252103e-05), ('loc0', 1.0), ('=', 1.0), ('new', 0.2509981526726655), ('AtomicLongArray', 0.00029073993312981537), ('(', 1.0), (')', 'Paren balancing'), ('}', 'Bracket balancing')]",boolean function ( ) ; arg0 [ loc1 ] ! = null ; try { loc1 . getActions ( ) ; } _diagnosisList . size ( ) { ListELResolver loc0 = new AtomicLongArray ( ) )
71,"['Long', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('INSTANCE', 0.0008114618993280081), ('}', 'Bracket balancing')]",Long function ( ) { return INSTANCE )
72,"['Object', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('arg0', 0.013567195055398322), ('[', 0.04798172124904798), ('loc0', 0.16815742397137745), ('>', 0.0068560235063663075), ('1', 0.02127659574468085), (':', 0.014705882352941176), ('0', 0.3790322580645161)]",Object function ( ) ; arg0 [ loc0 > 1 : 0
73,"['boolean', 'function']","[('(', 1.0), (')', 0.4331875), (',', 0.028034258378128136), ('arg1', 0.1506849315068493), (',', 0.3861859252823632), ('arg2', 0.29236677868458955), (',', 0.4210868857793687), ('int', 0.08241170174812701), ('arg3', 0.06838861168183152), (',', 0.39147286821705424), ('arg4', 0.2583732057416268), (',', 0.4620938628158845), ('float', 0.029850746268656716), ('arg3', 0.10704960835509138), (',', 0.45454545454545453), ('HSSFCellStyle', 0.0011961722488038277), ('arg4', 0.3333333333333333)]","boolean function ( ) , arg1 , arg2 , int arg3 , arg4 , float arg3 , HSSFCellStyle arg4"
74,"['void', 'function']","[('(', 1.0), ('WebView', 6.25e-05), ('arg0', 1.0), (',', 1.0), ('arg1', 0.23269054178145088), (')', 0.545902114103678), ('{', 0.5701229756064781), ('loc1', 0.005060012948852034), ('=', 0.36772046589018303), ('loc0', 0.14692113791861722), (';', 0.16381048387096775), ('}', 0.8134328358208955), ('Collections', 0.0006480881399870382), ('.', 1.0), ('emptyList', 0.11879049676025918), ('(', 1.0), (')', 1.0), ('{', 0.4514930171549086), ('throw', 0.024483291000547837), ('new', 0.8998435054773083), ('InsufficientInformationException', 0.0003368137420006736), ('(', 1.0), ('""', 1.0), ('srini_string', 1.0), ('""', 1.0), (')', 0.4776894674259966), (';', 0.7920869906982838), ('}', 0.581206452349828), ('return', 0.2501157300249977), ('forecastMappings', 0.00015121729925903524), ('.', 1.0), ('containsKey', 0.5), ('(', 1.0), ('arg0', 0.8006535947712419), (',', 0.2759494515021173), ('String', 0.1318181818181818), ('arg4', 0.014282475629109045), (')', 0.4520547945205479), ('{', 0.5871559633027523), ('return', 0.37874396135265703), ('MEM_BEAN', 2.5358184354000253e-05), ('.', 1.0), ('getNonHeapMemoryUsage', 1.0), ('(', 1.0), (')', 1.0), (';', 0.28056119955762454), ('loc0', 0.046615816125797974), ('=', 0.08711839166046165), ('new', 0.2509981526726655), ('Picture', 0.0007268498328245384), ('(', 1.0), ('""', 1.0), ('srini_string', 1.0), ('""', 1.0), (')', 'Paren balancing'), ('}', 'Bracket balancing')]","void function ( WebView arg0 , arg1 ) { loc1 = loc0 ; } Collections . emptyList ( ) { throw new InsufficientInformationException ( "" srini_string "" ) ; } return forecastMappings . containsKey ( arg0 , String arg4 ) { return MEM_BEAN . getNonHeapMemoryUsage ( ) ; loc0 = new Picture ( "" srini_string "" ) )"
75,"['void', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('ResourcesPlugin', 0.0007353873462660074), ('.', 1.0), ('getWorkspace', 1.0), ('(', 1.0), (')', 1.0), ('+', 0.01238394074226486), ('""', 0.5495841330774153), ('srini_string', 1.0), ('""', 1.0), (',', 0.17497966080480631), ('}', 'Bracket balancing')]","void function ( ) { return ResourcesPlugin . getWorkspace ( ) + "" srini_string "" , )"
76,"['void', 'function']","[('(', 1.0), ('long', 0.017775), ('loc1', 0.002617801047120419), ('=', 0.9083969465648855), ('(', 0.09290601368383147), ('AttributeField', 0.002050861361771944), (')', 0.8888888888888888), ('av', 0.875), ('.', 1.0), ('size', 0.4166666666666667), (')', 'Paren balancing')]",void function ( long loc1 = ( AttributeField ) av . size )
77,"['void', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('this', 0.07082540890072271), (';', 0.43956237868360687), ('}', 0.9826455842653298), ('acceptThread', 4.629200999907416e-05), ('=', 1.0), ('null', 1.0), (';', 0.16857037582903464), ('this', 0.014485387547649302), ('.', 1.0), ('unresolvedDestinationAddress', 5.3475935828877e-05)]",void function ( ) { return this ; } acceptThread = null ; this . unresolvedDestinationAddress
78,"['void', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('return', 0.09113753759851763), ('loc0', 0.2780586450960566), (';', 0.6818704484476811), ('outContent', 0.00041459369817578774), ('.', 1.0), ('toString', 0.5), ('(', 0.9988876529477196), (')', 0.8942052099946837), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('new', 0.07924432610625079), ('HarvestedItem', 0.00025075225677031093), ('(', 1.0), ('arg0', 1.0), (')', 0.4486012470407789), ('{', 0.6710117196842861), ('this', 0.10428806215448977), ('.', 1.0), ('logMessage', 0.00026737967914438503), ('(', 0.2857142857142857), ('arg0', 0.5), ('=', 0.057617285185555665), ('=', 0.7983870967741935), ('null', 0.6200765526608223), (';', 0.16857037582903464), ('framingRectInPreview', 0.0017789072426937739), ('=', 1.0), ('null', 1.0), ('&', 0.06770449521002211), ('&', 0.9972789115646259), ('state', 0.001419782300047326), (')', 0.25), (';', 0.7575757575757576), ('}', 0.581206452349828), ('else', 0.09878714933802425), ('{', 0.8438914027149321), ('return', 0.4259356879283078), ('description', 0.002434385697984024), (';', 0.979381443298969), ('}', 0.9917355371900827), ('if', 0.03920933246921581), ('(', 1.0), ('loc1', 0.04468148148148148), ('.', 0.23196567444355054), ('getAdapter', 0.00033433634236041456), ('(', 1.0), ('Task', 0.14285714285714285), ('arg0', 0.7142857142857143), (')', 0.6470588235294118), ('{', 0.6710117196842861), ('this', 0.10428806215448977), ('.', 1.0), ('outFile', 0.0009625668449197861), ('=', 1.0), ('new', 0.9444444444444444), ('StringBuilder', 0.05974705625817706), ('(', 1.0), (')', 'Paren balancing'), (')', 'Paren balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]",void function ( ) ; return loc0 ; outContent . toString ( ) { return new HarvestedItem ( arg0 ) { this . logMessage ( arg0 = = null ; framingRectInPreview = null & & state ) ; } else { return description ; } if ( loc1 . getAdapter ( Task arg0 ) { this . outFile = new StringBuilder ( ) ) ) )
79,"['boolean', 'function']","[('(', 1.0), ('final', 0.0385375), ('String', 0.24394728777198896), ('arg0', 0.5854181558255898), (')', 0.7086639162170739), ('{', 0.6710117196842861), ('m_Objects', 9.960655411126052e-06), ('=', 1.0), ('new', 1.0), ('StringBuilder', 0.05974705625817706), ('(', 1.0), (')', 0.839622641509434), ('{', 0.4514930171549086), ('loc0', 0.02460281886548135), ('.', 0.426224010731053), ('hdel', 8.526603001364257e-05), ('(', 1.0), ('arg0', 1.0), (',', 0.2759494515021173), ('Class', 0.00743801652892562), ('<', 0.7916666666666666), ('?', 0.7097097097097097), ('extends', 0.2748041775456919), ('V1', 0.004246284501061571), ('>', 1.0), ('arg0', 0.3333333333333333), (')', 0.7330173775671406), ('{', 0.6710117196842861), ('loc0', 0.02460281886548135), ('.', 0.426224010731053), ('setDefaultField', 8.526603001364257e-05), ('(', 1.0), ('arg0', 1.0), (',', 0.2759494515021173), ('FilterChain', 4.591368227731864e-05), ('arg2', 0.875), (')', 1.0), ('{', 0.5832716506291635), ('GrayPaintScale', 1.9921310822252103e-05), ('loc0', 1.0), ('=', 1.0), ('=', 0.06817233776294619), ('null', 0.6200765526608223), (';', 0.16857037582903464), ('}', 0.6716645489199492), ('catch', 0.08480696231830386), ('(', 1.0), ('InterruptedException', 0.03922567498726439), ('loc0', 0.6883116883116883), (')', 1.0), (';', 0.5940660822656777), ('return', 0.09113753759851763), ('}', 'Bracket balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]","boolean function ( final String arg0 ) { m_Objects = new StringBuilder ( ) { loc0 . hdel ( arg0 , Class < ? extends V1 > arg0 ) { loc0 . setDefaultField ( arg0 , FilterChain arg2 ) { GrayPaintScale loc0 = = null ; } catch ( InterruptedException loc0 ) ; return ) ) )"
80,"['StructField', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('Long', 0.00045644731837200456), ('.', 1.0), ('SIZE', 0.0457516339869281), ('=', 0.05555555555555555), ('=', 1.0), ('null', 0.6200765526608223), ('?', 0.05176860722181282), (""'a'"", 0.017793594306049824), (':', 1.0), (""'k'"", 0.8333333333333334), (';', 1.0), ('}', 0.3), ('else', 0.09878714933802425), ('{', 0.8438914027149321), ('return', 0.4259356879283078), ('stripColors', 2.5358184354000253e-05), ('(', 1.0), ('arg0', 1.0), (')', 0.4486012470407789), ('{', 0.6710117196842861), ('verticalAccuracy', 9.960655411126052e-06), ('=', 1.0), ('arg0', 1.0), ('.', 0.16889782895193176), ('length', 0.09989175815679605), (']', 0.04460019114367633), (';', 0.9310344827586207), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]",StructField function ( ) { return Long . SIZE = = null ? 'a' : 'k' ; } else { return stripColors ( arg0 ) { verticalAccuracy = arg0 . length ] ; ) )
81,"['COSDictionary', 'function']","[('(', 1.0), ('String', 0.1412), ('arg0', 0.9107784931850489), (',', 0.2893525864804824), ('arg1', 0.23269054178145088), (')', 'Paren balancing')]","COSDictionary function ( String arg0 , arg1 )"
82,"['int', 'function']","[('(', 1.0), ('ConfigurableEnvironment', 3.75e-05), ('arg0', 1.0), (',', 1.0), ('Float', 0.0002754820936639118), (')', 'Paren balancing')]","int function ( ConfigurableEnvironment arg0 , Float )"
83,"['IHttpCredentialsPlugin', 'function']",[],IHttpCredentialsPlugin function
84,"['AddressType', '.']","[('class', 0.4), (',', 0.29349736379613356), ('""', 0.03293413173652695), ('srini_string', 1.0), ('""', 1.0), ('+', 0.2183490831716628), ('shortName', 0.0005732301519059903)]","AddressType . class , "" srini_string "" + shortName"
85,"['Path', 'function']","[('(', 1.0), ('int', 0.053075), ('arg0', 0.6284711626487641), (')', 0.7018255578093306), (';', 0.2480267878497967)]",Path function ( int arg0 ) ;
86,"['NameComponent', 'function']",[],NameComponent function
87,"['void', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('this', 0.10428806215448977), ('.', 1.0), ('itemParameterName', 0.000106951871657754), ('+', 0.5), ('""', 1.0), ('srini_string', 1.0), ('""', 1.0), ('+', 0.2183490831716628), ('this', 0.040412725709372314), ('.', 0.9365853658536586), ('defaultProperties', 5.3475935828877e-05), ('=', 1.0), ('arg0', 1.0), (';', 0.7737393355066935), ('}', 0.8049015668943351), ('return', 0.2501157300249977), ('loc0', 0.2975956449417813), ('.', 0.25182062092755847), ('toString', 0.054314461118690316), ('(', 0.9988876529477196), (')', 0.8942052099946837), ('{', 0.4514930171549086), ('if', 0.09662831814333384), ('(', 1.0), ('arg0', 0.2232888888888889), ('.', 0.11803541062318695), ('entrySet', 0.003479202102984382), ('(', 1.0), (')', 1.0), ('{', 0.4514930171549086), ('if', 0.09662831814333384), ('(', 1.0), ('!', 0.08047407407407407), ('hasUser', 0.0038634900193174502), ('(', 1.0), (')', 'Paren balancing'), (')', 'Paren balancing'), (')', 'Paren balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]","void function ( ) { this . itemParameterName + "" srini_string "" + this . defaultProperties = arg0 ; } return loc0 . toString ( ) { if ( arg0 . entrySet ( ) { if ( ! hasUser ( ) ) ) ) )"
88,"['Filter', 'function']","[('(', 1.0), ('com', 0.0080875), ('.', 1.0), ('liferay', 0.6642771804062126), ('.', 1.0), (')', 'Paren balancing')]",Filter function ( com . liferay . )
89,"['String', 'function']","[('(', 1.0), ('@', 0.0082), ('NonNull', 0.07435508345978756), ('SearchView', 0.015873015873015872), ('arg0', 1.0), (')', 0.5), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('localAssignPrivateIpAddresses', 2.5358184354000253e-05), (';', 1.0), ('}', 1.0), ('Files', 4.629200999907416e-05), ('.', 1.0), ('asByteSink', 0.030303030303030304), ('(', 1.0), ('arg1', 1.0), (',', 0.24805566925910766), ('List', 0.006240998559769563), ('<', 0.9638009049773756), ('T', 0.08939038686987104), ('>', 0.9504076086956522), ('function', 0.36852331606217614), ('(', 1.0), ('final', 0.0385375), ('Class', 0.021452650934722647), ('<', 0.8761061946902655), ('?', 0.7097097097097097), ('>', 0.5815926892950392), ('arg0', 0.3601161665053243), (')', 0.7330173775671406), ('{', 0.6710117196842861), ('setElem', 4.980327705563026e-05), ('(', 1.0), ('0', 0.4), (')', 0.512249443207127), ('{', 0.3997691419776837), ('final', 0.010229593107226456), ('Calendar', 0.003777148253068933), ('loc0', 0.6666666666666666), ('=', 1.0), ('this', 0.021035695131398604), ('.', 0.8440111420612814), ('integerValue', 5.3475935828877e-05), ('=', 1.0), ('arg0', 1.0), (';', 0.7737393355066935), ('}', 0.8049015668943351), ('return', 0.2501157300249977), ('null', 0.07530621503099955), (';', 0.9955379276152702), (')', 'Paren balancing'), ('}', 'Bracket balancing')]","String function ( @ NonNull SearchView arg0 ) { return localAssignPrivateIpAddresses ; } Files . asByteSink ( arg1 , List < T > function ( final Class < ? > arg0 ) { setElem ( 0 ) { final Calendar loc0 = this . integerValue = arg0 ; } return null ; ) )"
90,"['AttributeDataset', 'function']",[],AttributeDataset function
91,"['void', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('unresolvedRefs', 1.2691482745929207e-05), ('.', 1.0), ('get', 0.5), ('(', 0.9996771068776235), ('arg0', 0.4023686607956271), (')', 0.4486012470407789), ('{', 0.6710117196842861), ('arg0', 0.012102196324518153), ('.', 0.707681849082257), ('length', 0.09989175815679605), (']', 0.04460019114367633), (';', 0.9310344827586207), ('if', 0.05049453409682457), ('(', 1.0), ('loc0', 0.14974814814814816), (')', 0.3778118609406953), ('{', 0.24531355360755225), ('this', 0.10428806215448977), ('.', 1.0), ('state', 0.00267379679144385), ('=', 0.5507246376811594), ('arg0', 0.35294117647058826), ('*', 0.002635777207463411), ('1000', 0.0223463687150838), (';', 0.3611111111111111), ('}', 0.391304347826087), ('InputStream', 4.629200999907416e-05), ('loc2', 1.0), (';', 0.2), ('}', 0.6694444444444444), ('ISMigrationServiceDataHolder', 4.629200999907416e-05), ('.', 1.0), ('setRealmService', 1.0), ('(', 1.0), ('null', 1.0), (',', 0.43478260869565216), ('null', 0.22525597269624573), (',', 0.40481565086531224), ('null', 0.22525597269624573), (')', 0.5944319036869827), ('{', 0.6399664750957854), ('closeConnectionAfterXBytes', 9.960655411126052e-06), ('=', 1.0), ('arg0', 1.0), (';', 0.7737393355066935), ('}', 0.8049015668943351), ('return', 0.2501157300249977), ('ids', 0.00015121729925903524), ('.', 0.3333333333333333), ('contains', 0.14285714285714285), ('(', 0.9975728155339806), (')', 'Paren balancing')]","void function ( ) ; unresolvedRefs . get ( arg0 ) { arg0 . length ] ; if ( loc0 ) { this . state = arg0 * 1000 ; } InputStream loc2 ; } ISMigrationServiceDataHolder . setRealmService ( null , null , null ) { closeConnectionAfterXBytes = arg0 ; } return ids . contains ( )"
92,"['int', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('char', 0.00026652113766451334), ('loc1', 0.14705882352941177), ('=', 0.6), ('arg0', 0.06643860280878645)]",int function ( ) ; char loc1 = arg0
93,"['WorkflowExecutionFailedEventAttributes', 'function']",[],WorkflowExecutionFailedEventAttributes function
94,"['void', 'function']","[('(', 1.0), ('Selector', 0.000125), ('arg0', 0.9090909090909091), (')', 0.6363636363636364), (';', 0.2480267878497967), ('int', 0.0074752833373523024), ('loc2', 0.2179372197309417), ('=', 0.9627329192546584), ('loc3', 0.001654715940430226), ('.', 0.46153846153846156), ('next', 0.14166666666666666), (';', 0.10874200426439233), ('elementCount', 0.015151515151515152), ('+', 0.2), ('+', 1.0), (']', 0.07499018453082057), (';', 0.17801047120418848), ('arg2', 0.005726184279021343), ('[', 0.20754716981132076), ('1', 0.10810810810810811), (']', 0.99), ('&', 0.05938697318007663), ('0xff', 0.4669603524229075), (']', 0.027624309392265192), (';', 0.6), ('final', 0.003643935450286309)]",void function ( Selector arg0 ) ; int loc2 = loc3 . next ; elementCount + + ] ; arg2 [ 1 ] & 0xff ] ; final
